"","id","1","2","3","4","5","observer","second_observer","date","start_time","tempf","sky","wind","hear","noise_distance_m","noise_direction","julian","min_after_sun","egforest","decforest","mixforest","woodland","lowshrub","tallshrub","openshrub","tundra","tussock","sparseveg","fen","bog","littoral","barren","water","elev"
"1","C2_T21_10",0,0,0,0,0,"MG","SA","2022-06-29","10:24:00",56,"2",-0.147687883440932,0,NA,NA,0.443581576966843,0.840195230845958,-0.0941163461555435,-0.0646554042501242,-0.0905252163287318,-0.109640998791724,-0.160209683078723,0.047682753182055,-0.147982476607147,0.370843944304487,0.0405421621408144,0.0465832311728933,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.145246260598543
"2","C2_T21_11",0,0,0,0,0,"MG","SA","2022-06-29","08:53:00",54,"2",-0.00374428194182886,0,NA,NA,0.443581576966843,0.457964431802805,-0.0941163461555435,-0.0646554042501242,-0.0905252163287318,-0.109640998791724,0.0360936338654819,0.287806632099843,-0.147982476607147,0.105708570406542,0.814096884696452,-0.220179190778716,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.293240657842061
"3","C2_T21_16",0,0,0,0,0,"MG","SA","2022-06-29","08:26:00",54,"2",-0.291631484940034,0,NA,NA,0.443581576966843,0.344555293625166,-0.0941163461555435,-0.0646554042501242,-0.0826597045747178,-0.109640998791724,-0.16697876297335,0.852422239284913,-0.0796487248150958,-0.0374396361580757,0.163400853370239,-0.178927269858364,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.170641428164775,-0.106398821787759,0.0701187992867012
"4","C2_T21_18",0,0,0,0,0,"MG","SA","2022-06-29","10:58:00",59,"2",-0.291631484940034,0,NA,NA,0.443581576966843,0.983006738180763,-0.0941163461555435,-0.0646554042501242,-0.0747941928207038,-0.109640998791724,-0.0925188841324452,0.21858173006949,0.307575868673194,-0.0461530052533134,1.14627038320564,-0.0799226596495196,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.129603542264581,-0.106398821787759,0.163889198460639
"5","C2_T21_19",0,0,0,0,0,"MG","SA","2022-06-29","11:34:00",59,"2",-0.00374428194182886,0,NA,NA,0.443581576966843,1.13421892241761,-0.0941163461555435,-0.0646554042501242,-0.0905252163287318,-0.109640998791724,0.760385182590651,-0.294115200592815,-0.147982476607147,0.278731185297689,0.10424666870422,0.272093732204151,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.371112007502174
"6","C2_T21_6",0,0,0,0,0,"MG","SA","2022-06-29","09:54:00",54,"2",-0.291631484940034,0,NA,NA,0.443581576966843,0.714185077315248,-0.0941163461555435,-0.0646554042501242,-0.0905252163287318,-0.109640998791724,-0.072211644448562,-0.0496647652981296,-0.147982476607147,0.438061363039177,0.277158900804892,-0.15692624536751,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,-0.15523837667135
"7","C2_T21_7",0,0,0,0,0,"MG","SA","2022-06-29","09:18:00",55,"2",-0.291631484940034,0,NA,NA,0.443581576966843,0.562972893078396,-0.0941163461555435,-0.0646554042501242,-0.0905252163287318,-0.109640998791724,-0.16697876297335,0.527930511017632,0.353131703201228,0.115666706515385,0.277158900804892,-0.209178678533289,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.181440871822721,-0.106398821787759,0.0204740824054261
"8","COUN_1_14_10",0,0,0,0,0,"DS","KW","2019-06-21","05:32:00",41,"2,3",-0.57951868793824,0,1000,"1000",0.260544835419157,-0.352700889244762,1.98781831985271,0.0917055648397425,1.85225618691272,1.09331524805516,-0.160209683078723,0.266173850215358,1.05924713838576,-0.366058127749894,0.450071132905564,-0.21742906271736,0.645184915135951,-0.0126328943801781,-0.125861937518609,-0.181440871822721,-0.106398821787759,-0.578478806016048
"9","COUN_1_14_11",0,0,0,0,0,"DS","KW","2019-06-21","06:08:00",41,"2,3",-0.147687883440932,0,1000,"1000",0.260544835419157,-0.20148870500791,1.94255887059166,0.248066533929609,5.28948482341684,5.64449971529253,-0.342974840233672,-0.105909998197792,-0.0796487248150958,-0.654844074906341,-0.214275864112808,-0.255930855576355,0.227703855012814,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,-0.561620750509118
"10","COUN_1_14_14",0,0,0,0,0,"DS","KW","2019-06-21","05:03:00",43,"2,3",-0.147687883440932,0,1000,"1000",0.260544835419157,-0.474510704324448,-0.0488568968944944,-0.0646554042501242,-0.0905252163287318,-0.0695424572301611,0.0902462730225039,0.0022539112246355,0.170908365089091,-0.132041929192084,2.17009281011751,-0.231179703024144,-0.168903152104165,-0.0126328943801781,-0.0649617629576122,-0.187920538017489,-0.106398821787759,-0.585793609655099
"11","COUN_1_14_15",0,0,0,0,0,"DS","KW","2019-06-21","06:40:00",43,"1,3",-0.291631484940034,0,1000,"1000",0.260544835419157,-0.0670778745751531,0.0642917262581281,0.560788472109343,0.491522653468303,0.0307038966737457,-0.261745881498139,1.4624666884274,-0.0796487248150958,-0.622480132552601,0.800445919004294,-0.253180727514998,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.183600760554311,-0.106398821787759,-0.485229566021443
