"terrXyear","territory","year","pres_1","pres_2","jday_1","jday_2"
"2017_T057","T057",2017,1,1,123,182
"2017_T058","T058",2017,0,0,123,182
"2017_T060","T060",2017,0,0,123,182
"2017_T064","T064",2017,1,0,123,183
"2017_T065","T065",2017,0,0,125,181
"2017_T066","T066",2017,0,0,125,181
"2017_T069","T069",2017,1,NA,122,NA
"2017_T070","T070",2017,0,1,122,180
"2017_T071","T071",2017,0,0,122,180
"2017_T073","T073",2017,1,1,122,180
"2017_T074","T074",2017,NA,0,NA,181
"2017_T075","T075",2017,0,0,122,180
"2017_T076","T076",2017,0,0,122,180
"2017_T077","T077",2017,0,0,122,183
"2017_T078","T078",2017,0,0,122,180
"2017_T080","T080",2017,0,0,125,181
"2017_T081","T081",2017,1,0,122,183
"2017_T082","T082",2017,1,0,122,183
"2017_T085","T085",2017,0,0,122,180
"2017_T088","T088",2017,1,0,122,183
"2017_T095","T095",2017,0,NA,123,NA
"2017_T096","T096",2017,1,0,121,177
"2017_T097","T097",2017,1,0,123,182
"2017_T099","T099",2017,1,0,125,181
"2017_T102","T102",2017,0,0,123,183
"2017_T107","T107",2017,0,0,123,182
"2017_T110","T110",2017,0,0,123,183
"2017_T111","T111",2017,0,0,122,180
"2017_T116","T116",2017,0,0,125,181
"2017_T123","T123",2017,0,0,125,181
"2017_T124","T124",2017,0,0,125,181
"2017_T132","T132",2017,0,0,125,181
"2017_T134","T134",2017,0,0,122,183
"2017_T139","T139",2017,0,1,122,183
"2017_T140","T140",2017,0,0,125,181
"2017_T144","T144",2017,0,0,123,182
"2017_T146","T146",2017,0,0,125,181
"2017_T148","T148",2017,0,NA,122,NA
"2017_T150","T150",2017,0,0,122,180
"2017_T158","T158",2017,0,0,122,180
"2017_T159","T159",2017,0,0,125,181
"2017_T167","T167",2017,0,0,125,181
"2017_T168","T168",2017,1,1,125,181
"2017_T169","T169",2017,NA,0,NA,182
"2017_T170","T170",2017,0,0,125,181
"2017_T172","T172",2017,0,0,123,183
"2017_T174","T174",2017,0,0,123,182
"2017_T175","T175",2017,1,0,125,181
"2017_T176","T176",2017,0,0,125,181
"2017_T177","T177",2017,0,0,125,181
"2017_T178","T178",2017,0,0,125,181
"2017_T180","T180",2017,0,0,123,182
"2017_T181","T181",2017,NA,0,NA,182
"2017_T182","T182",2017,1,1,123,182
"2017_T183","T183",2017,1,0,123,182
"2017_T184","T184",2017,1,0,125,181
"2017_T185","T185",2017,0,1,125,181
"2018_T002","T002",2018,0,0,123,177
"2018_T003","T003",2018,0,0,123,177
"2018_T004","T004",2018,1,1,123,176
"2018_T005","T005",2018,0,0,123,176
"2018_T006","T006",2018,0,0,123,176
"2018_T007","T007",2018,0,0,124,177
"2018_T008","T008",2018,0,0,123,177
"2018_T009","T009",2018,0,0,124,176
"2018_T010","T010",2018,1,1,124,176
"2018_T011","T011",2018,1,1,124,176
"2018_T013","T013",2018,1,1,123,177
"2018_T014","T014",2018,0,0,123,177
"2018_T015","T015",2018,1,1,123,175
"2018_T016","T016",2018,1,1,125,175
"2018_T017","T017",2018,0,0,125,175
"2018_T019","T019",2018,1,1,124,176
"2018_T020","T020",2018,0,0,123,176
"2018_T021","T021",2018,1,1,123,175
"2018_T022","T022",2018,1,1,123,175
"2018_T023","T023",2018,1,1,123,175
"2018_T024","T024",2018,1,1,125,175
"2018_T025","T025",2018,0,0,123,175
"2018_T031","T031",2018,0,0,124,176
"2018_T032","T032",2018,0,0,124,176
"2018_T036","T036",2018,1,1,123,177
"2018_T037","T037",2018,1,0,124,176
"2018_T042","T042",2018,1,1,123,175
"2018_T045","T045",2018,0,0,123,175
"2018_T046","T046",2018,NA,0,NA,175
"2018_T047","T047",2018,0,0,123,175
"2018_T048","T048",2018,1,NA,123,NA
"2018_T050","T050",2018,0,0,123,175
"2018_T052","T052",2018,2,0,123,175
"2018_T053","T053",2018,0,0,124,176
"2018_T054","T054",2018,0,0,124,176
"2018_T055","T055",2018,1,0,124,176
"2018_T056","T056",2018,0,0,124,176
"2018_T057","T057",2018,1,0,123,177
"2018_T058","T058",2018,1,1,123,177
"2018_T060","T060",2018,0,0,124,177
"2018_T064","T064",2018,0,0,124,176
"2018_T065","T065",2018,0,0,124,176
"2018_T066","T066",2018,0,0,124,176
"2018_T069","T069",2018,0,0,123,175
"2018_T070","T070",2018,1,1,123,175
"2018_T071","T071",2018,0,0,123,175
"2018_T073","T073",2018,0,1,123,175
"2018_T074","T074",2018,1,1,123,176
"2018_T075","T075",2018,0,0,123,175
"2018_T076","T076",2018,0,0,123,175
"2018_T077","T077",2018,0,0,125,175
"2018_T078","T078",2018,0,0,123,175
"2018_T080","T080",2018,1,0,124,176
"2018_T081","T081",2018,1,1,125,175
"2018_T082","T082",2018,1,1,125,175
"2018_T085","T085",2018,0,0,123,175
"2018_T086","T086",2018,0,0,125,175
"2018_T088","T088",2018,1,1,125,175
"2018_T095","T095",2018,0,0,124,177
"2018_T096","T096",2018,1,0,124,176
"2018_T097","T097",2018,0,0,123,177
"2018_T099","T099",2018,0,0,124,176
"2018_T102","T102",2018,0,0,124,176
"2018_T104","T104",2018,0,0,125,175
"2018_T110","T110",2018,0,0,124,176
"2018_T111","T111",2018,0,0,123,175
"2018_T116","T116",2018,0,0,124,176
"2018_T123","T123",2018,0,0,124,176
"2018_T124","T124",2018,0,0,124,176
"2018_T132","T132",2018,0,0,123,176
"2018_T134","T134",2018,1,1,125,175
"2018_T139","T139",2018,1,1,125,175
"2018_T140","T140",2018,0,0,124,176
"2018_T144","T144",2018,0,0,123,177
"2018_T146","T146",2018,0,0,124,176
"2018_T148","T148",2018,0,0,123,175
"2018_T150","T150",2018,0,0,123,175
"2018_T158","T158",2018,0,0,123,175
"2018_T159","T159",2018,0,0,124,176
"2018_T167","T167",2018,0,NA,124,NA
"2018_T168","T168",2018,1,1,123,176
"2018_T169","T169",2018,0,0,123,177
"2018_T170","T170",2018,0,0,124,176
"2018_T172","T172",2018,0,0,124,176
"2018_T173","T173",2018,NA,0,NA,176
"2018_T174","T174",2018,0,0,123,177
"2018_T175","T175",2018,0,0,123,176
"2018_T176","T176",2018,0,0,123,176
"2018_T177","T177",2018,0,0,123,176
"2018_T178","T178",2018,1,0,123,176
"2018_T180","T180",2018,0,0,123,177
"2018_T181","T181",2018,0,0,123,177
"2018_T182","T182",2018,0,0,123,177
"2018_T183","T183",2018,0,0,123,177
"2018_T184","T184",2018,0,0,124,176
"2018_T185","T185",2018,0,0,124,176
"2019_T002","T002",2019,0,0,127,175
"2019_T003","T003",2019,0,0,127,175
"2019_T004","T004",2019,0,0,126,175
"2019_T005","T005",2019,0,0,126,175
"2019_T006","T006",2019,0,0,126,175
"2019_T007","T007",2019,0,0,127,176
"2019_T008","T008",2019,1,1,127,175
"2019_T009","T009",2019,1,0,127,176
"2019_T010","T010",2019,1,0,127,176
"2019_T011","T011",2019,1,0,127,176
"2019_T013","T013",2019,0,NA,127,NA
"2019_T014","T014",2019,1,1,127,175
"2019_T015","T015",2019,1,1,126,175
"2019_T016","T016",2019,1,2,126,176
"2019_T017","T017",2019,NA,0,NA,176
"2019_T019","T019",2019,1,1,127,176
"2019_T020","T020",2019,1,1,126,175
"2019_T021","T021",2019,1,1,130,173
"2019_T022","T022",2019,1,1,130,173
"2019_T023","T023",2019,1,1,130,173
"2019_T024","T024",2019,1,1,126,176
"2019_T025","T025",2019,0,1,126,175
"2019_T031","T031",2019,1,0,126,176
"2019_T032","T032",2019,0,0,126,176
"2019_T036","T036",2019,1,1,127,175
"2019_T037","T037",2019,0,0,127,176
"2019_T042","T042",2019,0,0,130,175
"2019_T045","T045",2019,1,0,126,175
"2019_T046","T046",2019,0,0,126,175
"2019_T047","T047",2019,0,1,126,175
"2019_T048","T048",2019,0,0,126,175
"2019_T050","T050",2019,0,0,130,173
"2019_T052","T052",2019,1,1,130,173
"2019_T053","T053",2019,0,0,127,176
"2019_T054","T054",2019,1,0,127,176
"2019_T055","T055",2019,0,0,127,176
"2019_T056","T056",2019,1,0,127,176
"2019_T057","T057",2019,1,0,127,175
"2019_T058","T058",2019,0,0,127,175
"2019_T060","T060",2019,0,0,127,176
"2019_T064","T064",2019,0,0,127,176
"2019_T065","T065",2019,0,0,127,176
"2019_T066","T066",2019,0,0,127,176
"2019_T069","T069",2019,1,0,126,175
"2019_T070","T070",2019,0,0,130,175
"2019_T071","T071",2019,0,0,126,175
"2019_T073","T073",2019,0,NA,126,NA
"2019_T074","T074",2019,0,0,126,175
"2019_T075","T075",2019,NA,0,NA,175
"2019_T076","T076",2019,1,NA,126,NA
"2019_T077","T077",2019,0,0,126,176
"2019_T078","T078",2019,0,0,130,173
"2019_T080","T080",2019,NA,0,NA,176
"2019_T081","T081",2019,1,1,126,176
"2019_T082","T082",2019,1,1,126,176
"2019_T085","T085",2019,0,0,126,175
"2019_T086","T086",2019,0,NA,126,NA
"2019_T088","T088",2019,1,1,126,176
"2019_T096","T096",2019,NA,0,NA,176
"2019_T097","T097",2019,0,0,127,175
"2019_T099","T099",2019,1,0,126,176
"2019_T102","T102",2019,0,0,127,176
"2019_T104","T104",2019,NA,0,NA,176
"2019_T107","T107",2019,0,0,127,175
"2019_T110","T110",2019,0,0,127,176
"2019_T111","T111",2019,1,1,130,175
"2019_T116","T116",2019,0,0,127,176
"2019_T123","T123",2019,0,0,126,176
"2019_T124","T124",2019,1,0,127,176
"2019_T132","T132",2019,1,1,126,175
"2019_T134","T134",2019,0,0,126,176
"2019_T139","T139",2019,0,0,126,176
"2019_T140","T140",2019,0,0,126,176
"2019_T144","T144",2019,0,0,127,175
"2019_T146","T146",2019,0,0,127,176
"2019_T148","T148",2019,0,0,126,175
"2019_T150","T150",2019,0,0,130,173
"2019_T158","T158",2019,0,0,130,173
"2019_T159","T159",2019,0,0,127,176
"2019_T167","T167",2019,0,0,126,176
"2019_T168","T168",2019,1,1,126,175
"2019_T169","T169",2019,0,0,127,175
"2019_T170","T170",2019,0,0,126,176
"2019_T172","T172",2019,0,0,127,176
"2019_T173","T173",2019,1,1,126,176
"2019_T174","T174",2019,0,0,127,175
"2019_T175","T175",2019,0,0,126,175
"2019_T177","T177",2019,1,1,126,175
"2019_T178","T178",2019,0,0,126,175
"2019_T180","T180",2019,0,0,127,175
"2019_T181","T181",2019,0,0,127,175
"2019_T182","T182",2019,0,0,127,175
"2019_T183","T183",2019,0,0,127,175
"2019_T184","T184",2019,0,0,127,176
"2019_T185","T185",2019,1,0,127,176
"2021_T002","T002",2021,0,1,126,174
"2021_T003","T003",2021,0,0,126,174
"2021_T004","T004",2021,NA,0,NA,174
"2021_T005","T005",2021,0,0,125,174
"2021_T006","T006",2021,0,0,125,174
"2021_T007","T007",2021,0,0,126,173
"2021_T008","T008",2021,0,0,126,174
"2021_T009","T009",2021,0,0,126,173
"2021_T010","T010",2021,1,1,126,173
"2021_T011","T011",2021,1,1,126,173
"2021_T014","T014",2021,1,0,126,174
"2021_T015","T015",2021,1,1,124,168
"2021_T016","T016",2021,0,0,124,168
"2021_T017","T017",2021,0,0,124,168
"2021_T019","T019",2021,0,0,125,173
"2021_T020","T020",2021,1,0,125,174
"2021_T021","T021",2021,1,0,124,174
"2021_T022","T022",2021,1,1,124,174
"2021_T023","T023",2021,1,0,124,174
"2021_T024","T024",2021,1,1,124,168
"2021_T025","T025",2021,0,0,124,168
"2021_T031","T031",2021,0,0,125,173
"2021_T032","T032",2021,0,0,125,173
"2021_T036","T036",2021,0,1,126,174
"2021_T037","T037",2021,0,0,125,173
"2021_T042","T042",2021,0,0,124,168
"2021_T045","T045",2021,1,0,124,168
"2021_T046","T046",2021,0,0,124,168
"2021_T047","T047",2021,0,0,124,168
"2021_T050","T050",2021,0,0,124,174
"2021_T052","T052",2021,1,0,124,174
"2021_T053","T053",2021,0,0,126,173
"2021_T054","T054",2021,1,0,126,173
"2021_T055","T055",2021,0,0,126,173
"2021_T056","T056",2021,0,0,125,173
"2021_T057","T057",2021,0,0,126,174
"2021_T058","T058",2021,0,0,126,174
"2021_T060","T060",2021,0,0,126,173
"2021_T064","T064",2021,0,0,126,173
"2021_T065","T065",2021,0,0,125,173
"2021_T066","T066",2021,0,0,125,173
"2021_T069","T069",2021,0,0,124,168
"2021_T070","T070",2021,0,0,124,168
"2021_T071","T071",2021,0,0,124,168
"2021_T073","T073",2021,0,0,124,168
"2021_T074","T074",2021,1,1,125,174
"2021_T075","T075",2021,1,0,124,168
"2021_T076","T076",2021,1,1,124,168
"2021_T077","T077",2021,0,0,124,168
"2021_T078","T078",2021,0,0,124,174
"2021_T080","T080",2021,0,0,125,173
"2021_T082","T082",2021,1,0,124,168
"2021_T085","T085",2021,0,1,124,168
"2021_T086","T086",2021,0,0,124,168
"2021_T095","T095",2021,0,NA,126,NA
"2021_T096","T096",2021,1,0,125,173
"2021_T097","T097",2021,0,0,126,174
"2021_T099","T099",2021,0,0,125,173
"2021_T102","T102",2021,0,0,126,173
"2021_T104","T104",2021,1,0,124,168
"2021_T107","T107",2021,0,0,126,174
"2021_T110","T110",2021,0,0,126,173
"2021_T111","T111",2021,0,0,124,168
"2021_T116","T116",2021,0,0,125,173
"2021_T123","T123",2021,0,0,125,173
"2021_T124","T124",2021,0,0,125,173
"2021_T132","T132",2021,1,1,125,174
"2021_T134","T134",2021,1,1,124,168
"2021_T139","T139",2021,1,1,124,168
"2021_T140","T140",2021,0,NA,125,NA
"2021_T144","T144",2021,0,0,126,174
"2021_T146","T146",2021,0,0,125,173
"2021_T148","T148",2021,0,0,124,168
"2021_T150","T150",2021,0,0,124,174
"2021_T158","T158",2021,1,1,124,174
"2021_T159","T159",2021,0,0,125,173
"2021_T167","T167",2021,1,1,125,173
"2021_T168","T168",2021,0,0,125,174
"2021_T169","T169",2021,0,0,125,174
"2021_T170","T170",2021,0,0,125,173
"2021_T172","T172",2021,0,0,126,173
"2021_T173","T173",2021,0,0,125,173
"2021_T174","T174",2021,0,0,126,174
"2021_T175","T175",2021,0,1,125,174
"2021_T176","T176",2021,1,1,125,174
"2021_T177","T177",2021,0,0,125,174
"2021_T178","T178",2021,0,0,125,174
"2021_T180","T180",2021,0,0,126,174
"2021_T181","T181",2021,NA,0,NA,174
"2021_T182","T182",2021,0,0,126,174
"2021_T183","T183",2021,0,0,125,174
"2021_T184","T184",2021,0,0,125,173
"2021_T185","T185",2021,0,0,125,173
"2022_T002","T002",2022,NA,0,NA,168
"2022_T003","T003",2022,NA,0,NA,168
"2022_T004","T004",2022,0,0,134,167
"2022_T005","T005",2022,0,0,134,167
"2022_T006","T006",2022,0,0,134,167
"2022_T007","T007",2022,0,1,133,168
"2022_T008","T008",2022,NA,0,NA,168
"2022_T009","T009",2022,NA,0,NA,168
"2022_T010","T010",2022,1,1,133,168
"2022_T011","T011",2022,1,1,133,168
"2022_T014","T014",2022,NA,1,NA,168
"2022_T015","T015",2022,1,1,133,168
"2022_T016","T016",2022,1,1,136,167
"2022_T017","T017",2022,0,0,136,167
"2022_T019","T019",2022,NA,1,NA,167
"2022_T020","T020",2022,1,1,134,167
"2022_T021","T021",2022,1,1,135,167
"2022_T022","T022",2022,1,1,135,167
"2022_T023","T023",2022,1,1,135,167
"2022_T024","T024",2022,0,0,136,167
"2022_T025","T025",2022,0,0,133,168
"2022_T031","T031",2022,0,0,133,167
"2022_T032","T032",2022,NA,0,NA,167
"2022_T036","T036",2022,NA,1,NA,168
"2022_T037","T037",2022,NA,0,NA,167
"2022_T042","T042",2022,0,0,133,168
"2022_T045","T045",2022,1,1,133,168
"2022_T046","T046",2022,0,0,133,168
"2022_T047","T047",2022,0,0,133,168
"2022_T048","T048",2022,0,0,133,168
"2022_T050","T050",2022,0,0,135,167
"2022_T052","T052",2022,0,0,135,167
"2022_T053","T053",2022,0,0,133,168
"2022_T054","T054",2022,0,0,133,168
"2022_T055","T055",2022,NA,0,NA,168
"2022_T056","T056",2022,0,0,133,167
"2022_T057","T057",2022,NA,0,NA,168
"2022_T058","T058",2022,NA,1,NA,168
"2022_T060","T060",2022,0,0,133,168
"2022_T064","T064",2022,0,0,133,168
"2022_T065","T065",2022,0,0,133,167
"2022_T066","T066",2022,0,0,133,167
"2022_T069","T069",2022,0,0,133,168
"2022_T070","T070",2022,0,0,133,168
"2022_T073","T073",2022,0,0,133,168
"2022_T074","T074",2022,0,0,134,167
"2022_T075","T075",2022,1,1,133,168
